mot	valeur
panique	-3
paniqué	-3
paniques	-3
paradis	3
paradoxe	-1
pardon	2
graciée	2
grâce	2
grâces	2
Parley	-1
passionné	2
passive	-1
passivement	-1
pathétique	-2
salaire	-1
paix	2
pacifique	2
pacifiquement	2
Pénalité	-2
sensuelle	-1
parfait	3
perfectionné	2
parfaitement	3
parfaits	2
péril	-2
parjure	-3
auteur	-2
auteurs	-2
perplexe	-2
persécuter	-2
persécutés	-2
persécutés	-2
Persécution	-2
perturbés	-2
Pousse-toi.	-2
pessimisme	-2
pessimiste	-2
pétrifié	-2
Phobique	-2
pittoresque	2
empilement	-1
pic	-2
Piqué	-2
pisse	-4
en colère	-4
Pleurer	-3
piteuse	-2
piétinés	-1
pitié	-2
ludique	2
agréable	3
S'il vous plaît.	1
heureux	3
plaisir	3
poisé	-2
poison	-2
empoisonnés	-2
poisons	-2
pollueur	-2
pollués	-2
pollueur	-2
pollueurs	-2
Pollutes	-2
pauvres	-2
pauvres	-2
les plus pauvres	-2
populaire	3
positif	2
positif	2
possessif	-2
ajourner	-1
reporté	-1
reports	-1
Report de l ' exécution	-1
pauvreté	-1
puissant	2
impuissants	-2
éloges	3
loués	3
éloges	3
éloges	3
priez	1
prier	1
prie	1
Pour l'application de l'article 2, paragraphe 1, point b), du règlement (UE) no 1308/2013, les États membres sont destinataires de la présente décision.	-2
pour l'alimentation humaine ou animale, à l'exclusion des produits à base de fruits et légumes, à l'exclusion des produits à base de fruits et légumes, à l'exclusion des produits à base de fruits et légumes, à l'exclusion des produits à base de fruits et légumes, à l'exclusion des produits à base de fruits et légumes, à l'exclusion des produits à base de fruits et légumes, à l'exclusion des produits à base de fruits et légumes, à l'exclusion des produits à base de fruits et légumes, à l'exclusion des produits à base de fruits et légumes, à l'exclusion des produits à base de fruits et légumes, à l'exclusion des produits à base de fruits et légumes, à l'exclusion des produits à base de fruits et légumes, à l'exclusion des produits à base de fruits et légumes, à l'exclusion des produits à base de fruits et légumes, à l'exclusion des produits à base de fruits et légumes, à l'exclusion des produits à base de fruits et légumes, à l'exclusion des produits à base de fruits et légumes, à l'exclusion des produits à base de fruits et légumes	-2
préparé	1
pression	-1
sous pression	-2
Fais semblant.	-1
faire semblant	-1
prétend	-1
joli	1
prévenir	-1
évité	-1
prévenir	-1
prévient	-1
C'est quoi, ça ?	-5
prison	-2
prisonnier	-2
prisonniers	-2
privilégié	2
proactif	2
problème	-2
problèmes	-2
profiteur	-2
progrès accomplis	2
Élevé	2
promesse	1
promis	1
promesses	1
promouvoir	1
promus	1
favorise	1
promouvoir	1
propagande	-2
poursuivre	-1
poursuivis	-2
poursuites	-1
poursuite	-1
perspective	1
perspectives	1
prospère	3
protéger	1
protégé	1
protège	1
protestation	-2
manifestants	-2
des protestations	-2
manifestations	-2
fier	2
fièrement	2
provoquer	-1
provoqués	-1
provoque	-1
Provoquer	-1
pseudoscience	-3
punir	-2
puni	-2
punit	-2
punitif	-2
Poussé	-1
puzzled	-2
tremblement	-2
douteux	-2
questionné	-1
questionnement	-1
racisme	-3
raciste	-3
racistes	-3
rage	-2
furieuse	-2
pluvieux	-1
C'est vrai.	-3
Courbure	-3
Les rainures	-3
Ce n'est pas le cas.	-3
viol	-4
violeur	-4
rapt	2
rapturée	2
enlèvements	2
raptures	4
éruption cutanée	-2
ratifiés	2
portée	1
atteint	1
atteint	1
atteindre	1
rassurez-vous	1
rassuré	1
rassure	1
rassurant	2
rébellion	-2
récession	-2
imprudent	-2
recommander	2
recommandé	2
recommande	2
rachetés	2
déchets	-2
refusé	-2
refus	-2
regret	-2
regrettant	-2
regrette	-2
regrettant	-2
regrettant	-2
rejeter	-1
rejeté	-1
rejet	-1
rejette	-1
réjouissez-vous	4
se réjouissait	4
se réjouit	4
se réjouissant	4
Détendez-vous	2
implacable	-1
d ' une capacité d ' accueil	2
soulager	1
soulagé	2
soulage	1
Soulagement	2
l'appréciation	2
remarquable	2
remords	-2
Répulsion	-1
repoussés	-2
sauvetage	2
secourus	2
sauvetages	2
le ressentiment	-2
démissionner	-1
démissionnaire	-1
démission	-1
démissionne	-1
Résolu	2
résoudre	2
résolu	2
résout	2
résolution	2
respecté	2
responsable	2
réactif	2
reposée	2
agité	-2
restaurer	1
restauré	1
restaure	1
restauration	1
restreindre	-2
limité	-2
restreignant	-2
Restriction	-2
Limitations	-2
laissé en place	-1
retard	-2
retardés	-2
Retraite	-1
revanche	-2
se venger	-2
vénérés	2
Réveillez-vous	2
Rénove	2
récompense	2
récompensé	2
gratifiant	2
Récompenses	2
riches	2
ridicule	-3
système d'alimentation	-1
truqué	-1
direction droite	3
rigoureux	3
rigoureusement	3
émeute	-2
émeutes	-2
risque	-2
risques	-2
Vol	-2
voleur	-2
volés	-2
Vols	-2
Vols	-2
robuste	2
pour les véhicules à moteur à moteur à allumage par compression	4
roflcopter	4
Roflmao	4
romance	2
pourriture	4
pourritifao	4
pourritrol	4
ruine	-2
ruiné	-2
ruiner	-2
ruines	-2
sabotage	-2
triste	-2
tristement triste	-2
attristés	-2
tristement	-2
sans danger	1
En toute sécurité	1
sécurité	1
saillant	1
C'est de l'ivraie.	-1
sarcastique	-2
satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/	2
Enregistrer	2
sauvé	2
Escroquerie	-2
escroqueries	-2
scandale	-3
scandaleux	-3
scandales	-3
bouc émissaire	-2
boucs émissaires	-2
Frayeur	-2
peur	-2
effrayant	-2
sceptique	-2
gronder	-2
scoop	3
le dédain	-2
méprisant	-2
Crie	-2
hurlé	-2
Des cris	-2
cris	-2
vissé	-2
J'ai foiré.	-3
Casse-culotte	-4
Sécurisation	2
sécurisés	2
sécurise	2
sédition	-2
séditieux	-2
séduits	-1
confiance en soi	2
s'auto-effacer	-2
égoïste	-3
égoïsme	-3
phrase	-2
condamné	-2
phrases	-2
détermination de la peine	-2
sereine	2
sévère	-2
sexy	3
Shaky	-2
honte	-2
honteux	-2
honteux	-2
Part	1
partagé	1
actions	1
brisé	-2
C'est de la merde.	-4
C'est de la merde.	-4
C'est de la merde.	-3
choc	-2
choqué	-2
stupéfiant	-2
chocs	-2
prise de vue	-1
à courte vue	-2
myopie	-2
pénurie	-2
pénuries	-2
museau	-4
timide	-1
malade	-2
soupir	-2
signification	1
significatif	1
silencieux	-1
Imbécile	-1
sincère	2
Je vous prie d'agréer, Monsieur le Président, l'expression de mes sentiments les plus sincères.	2
Sincerest	2
sincérité	2
pécheur	-3
un seul et même esprit	-2
sceptique	-2
sceptique	-2
scepticisme	-2
les sceptiques	-2
slam	-2
Slash	-2
cliquetis	-2
Slashes	-2
Soufflures	-2
l ' esclavage	-3
Insomnie	-2
Lécher	2
slicker	2
C'est le plus léché.	2
paresseux	-2
salope	-5
Intelligent	1
Plus intelligent	2
C'est le plus intelligent.	2
frotter	-2
sourire	2
souriant	2
sourires	2
souriant	2
smog	-2
Sournois	-1
snub	-2
brouillés	-2
à frotter	-2
les snubs	-2
soûler	1
solennel	-1
solide	2
solidarité	2
solution	1
solutions	1
résoudre	1
résolu	1
résout	1
résolution	1
sombre	-2
d'une sorte	0
Fils de pute	-5
Soulagez-vous.	3
apaisé	3
Apaisant	3
sophistiqué	2
endolorissement	-1
douleur	-2
affligeant	-2
Désolé.	-1
Spam	-2
Spammeur	-3
les spammeurs	-3
pourriels	-2
étincelle	1
étincelant	3
étincelants	3
étincelant	3
spéculatif	-2
esprit	1
esprité	2
Sans esprit	-2
Malheur à moi.	-2
Magnifique	3
épouvantable	2
Séculièrement	-1
coup de couteau	-2
poignardé	-2
stable	2
coups de couteau	-2
Décrochage	-2
calmé	-2
calage	-2
endurance	2
estampe	-2
stupéfié	-2
Meurtre de faim	-2
affamés	-2
Meurtres de faim	-2
mourir de faim	-2
Résistant	2
Voler	-2
Vols	-2
stéréotype	-2
stéréotypé	-2
étouffé	-1
stimuler	1
stimulé	1
stimule	1
stimulant	2
- C'est pas vrai.	-2
volé	-2
Arrêter	-1
arrêté	-1
arrêt	-1
stops	-1
Découpe	2
droit	1
étrange	-1
étrangement	-1
étranglé	-2
force	2
renforcer	2
renforcée	2
renforcement	2
renforce	2
souligné	-2
stresseur	-2
les facteurs de stress;	-2
Atteints	-2
grève	-1
grévistes	-2
grèves	-1
Forte	2
plus fort	2
plus fort	2
frappé	-1
lutte	-2
lutté	-2
luttes	-2
lutte	-2
Têtu	-2
coincé	-2
stupéfié	-2
étourdissant	4
stupide	-2
stupidement	-2
Suave	2
substantielles	1
substantiellement	1
subversive	-2
succès	2
succès	3
Nourriture	-3
C'est nul.	-3
souffrir	-2
la souffrance	-2
souffre	-2
suicidaire	-2
suicide	-2
poursuite en justice	-2
Faire bouillir	-2
Sourcils	-2
sullen	-2
soleil	2
super	3
superbe	5
supérieur	2
Appui	2
soutenu	2
l'appui à l'entreprise;	1
sympathisants	1
soutien	1
Soutien	2
soutiens	2
Survivre	2
survivant	2
survivant	2
suspect	-1
suspectés	-1
suspecté	-1
suspects	-1
suspendre	-1
suspendue	-1
suspect	-2
Je vous jure	-2
prêter serment	-2
jure	-2
C'est mignon.	2
rapide	2
rapidement	2
escroquerie	-3
escroqueries	-3
escroquerie	-3
sympathique	2
sympathie	2
Tard	-2
larmes	-2
Appel d'offres	2
tendue	-2
tension	-1
terrible	-3
terriblement	-3
Fantastique	4
terrifié	-3
terreur	-3
terroriser	-3
terrorisé	-3
terrorise	-3
Merci beaucoup.	2
reconnaissant	2
Merci beaucoup.	2
épineuse	-2
C'est gentil.	2
irréfléchi	-2
menace	-2
menace	-2
Menacés	-2
menaçant	-2
menace	-2
menaces	-2
ravie	5
déjouer	-2
déjoué	-2
déjouer	-2
déjoue	-2
timidité	-2
timoreux	-2
fatigué	-2
seins	-2
Tolérance	2
sans dents	-2
haut	2
haut de la page	2
déchiré	-2
torture	-4
torturés	-4
tortures	-4
tortionnement	-4
totalitaire	-2
totalitarisme	-2
tout	-2
d'une teneur en poids de matières grasses égale ou supérieure à 5 % en poids	-2
le toutage;	-2
touts	-2
tragédie	-2
tragique	-2
tranquille	2
piège	-1
Pris au piège	-2
Traumatisme	-3
traumatique	-3
paresseux	-2
trahison	-3
trahison	-3
Trésor	2
trésors	2
tremblant	-2
tremblante	-2
piégeant	-2
La ruse	-2
triomphe	4
triomphant	4
Problèmes	-2
trouble	-2
problèmes	-2
vrai	2
confiance	1
confiance	2
tumeur	-2
Twat	-5
Laid	-3
inacceptable	-2
non appréciés	-2
non approuvé	-2
ignorant	-2
incroyable	-1
incrédule	-1
sans partialité	2
incertain	-1
peu clair	-1
inconfortable	-2
non concernés	-2
non confirmé	-1
non convaincu	-1
non crédités	-1
indécis	-1
sous-estimation	-1
sous-estimé	-1
sous-estimations	-1
sous-estimation	-1
saper	-2
miné	-2
s'affaiblit	-2
saper	-2
non-déservant	-2
indésirables	-2
mal à l'aise	-2
chômage	-2
inégal	-1
inégalé	2
contraire à l'éthique	-2
injuste	-2
non focalisé	-2
non remplie	-2
malheureuse	-2
malsain	-2
unifié	1
non impressionnée	-2
un manque d'intelligence	-2
unis	1
injuste	-2
non-aimable	-2
non-aimés	-2
non appariés	1
sans motivation	-2
non professionnelle	-2
non étudiés	-2
Insatisfait	-2
non sécurisé	-2
non réglées	-1
non sophistiquée	-2
instable	-2
impossible à arrêter	2
non pris en charge	-2
n'est pas sûr	-1
non ternes	2
indésirables	-2
indigne	-2
bouleversée	-2
les troubles	-2
la perturbation	-2
étanche à l'eau	-2
urgent	-1
utile	2
utilité	2
inutile	-2
perte d'emploi	-2
vague	-2
valider	1
validée	1
valide	1
Validation	1
verdict	-1
verdicts	-1
Dont	1
vexation	-2
Vexation	-2
vibrant	3
vicieuse	-2
victime	-3
victimiser	-3
victimisés	-3
victimisations	-3
victimisation	-3
victimes	-3
vigilante	3
vile	-3
vindicatif	2
qui ont fait l'objet d'une justification	2
les médicaments à usage humain;	2
vindicatif	2
viole	-2
violée	-2
viole	-2
violant	-2
la violence	-3
violente	-3
vertueux	2
virulent	-2
vision	1
visionnaire	3
visionnement	1
visions	1
vitalité	3
vitamine	1
vitriolique	-3
vivace	3
vocifères	-1
vulnérabilité	-2
vulnérables	-2
Déplacement à pied	-2
randonnées pédestres	-2
Branleur	-3
Je veux	1
guerre	-2
guerre	-2
chaud	1
chaleur	2
Avertissement	-2
mis en garde	-2
avertissement	-3
avertissements	-3
avertit	-2
déchets	-1
gaspillé	-2
gaspiller	-2
oscillation	-1
faible	-2
faiblesse	-2
richesse	3
riches	2
Lassaires	-2
pleurer	-2
pleurs	-2
bizarre	-2
bienvenue	2
accueillis avec satisfaction	2
accueille favorablement	2
fantaisiste	1
Blanchisserie	-3
pute	-4
mauvais	-2
veuves	-1
Volonté	2
gagner	4
gagnant	4
gagnant	4
gagne	4
gagnant	3
Souhaits	1
vœux	1
souhaitant	1
retrait	-3
weebegone	-2
malheureuse	-3
gagné	3
merveilleux	4
woo	3
Woohoo	3
wooo	4
wow	4
portée	-1
inquiets	-3
Inquiète-toi.	-3
Préoccupés	-3
pire	-3
empirer	-3
empiré	-3
aggravation	-3
aggrave	-3
Adorés	3
le pire	-3
d ' une valeur	2
sans valeur	-2
digne d'être	2
Wow	4
Wowow, c'est-à-dire	4
wowww	4
courroucé	-3
épave	-2
faux	-2
lésés	-2
wtf	-4
Oui.	1
Année	1
yeeeseeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee	2
oui	1
jeunes	2
C'est pas vrai.	-2
Nom d'un chien	3
zéléot	-2
zélotes	-2
zélé	2
